"iBAQ.Cbp3_1"	"iBAQ.Cbp3_2"	"iBAQ.Cbp3_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
0	0	0	0	65392	39816	83	"P33893"	"PET112"
0	0	0	3093400	1070200	4378200	100	"P53921"	"YNL122C"
0	0	0	69374	0	26751	190	"P07236"	"MST1"
0	0	0	60178	101000	104250	208	"P08425"	"MSF1"
0	0	0	44484	612530	449270	280	"P16451"	"PDX1"
0	0	0	89186	72784	88358	375	"P32493"	"AEP1"
0	0	0	30006	0	0	539	"P48527"	"MSY1"
0	0	0	232840	333160	126480	558	"P53170"	"PKP2"
0	0	0	21179	17449	12228	644	"Q04748"	"SOV1"
0	0	0	0	0	134800	647	"Q05863"	"YLR281C"
0	0	0	633360	1183300	830370	686	"Q12349"	"ATP14"
